,Product,Price,CPU,Operating System,RAM,Secondary Storage
0,acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) A515-56 Thin and Light Lap...,"₹49,999",Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,1 TB HDD|256 GB SSD
1,MSI GF63 Thin Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 ...,"₹49,990",Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,1 TB HDD
2,acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹49,990",Free upgrade to Windows 11 when available,8 GB DDR4 RAM,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System
3,ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and L...,"₹34,990",Intel Core i3 Processor (11th Gen),Windows 10 Operating System,4 GB DDR4 RAM,256 GB SSD
4,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,"₹59,990",Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,512 GB SSD
5,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop,"₹43,990",Intel Core i3 Processor (11th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,512 GB SSD
6,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop,"₹38,990",AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 Operating System,8 GB DDR4 RAM,256 GB SSD
7,acer Predator Helios 300 Octa Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graph...,"₹99,990",Free upgrade to Windows 11 when available,16 GB DDR4 RAM,Intel Octa Core i7 Processor (10th Gen),64 bit Windows 10 Operating System
8,MSI GF63 Thin Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 305...,"₹59,990",Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,512 GB SSD
9,HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GT...,"₹59,990",AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,8 GB DDR4 RAM,512 GB SSD
10,ASUS ASUS TUF Gaming Core i5 11th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RT...,"₹72,990",Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,1 TB SSD
11,MSI GF63 Thin Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,"₹64,990",Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,1 TB HDD|256 GB SSD
12,ASUS Core i3 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) X515JA-EJ372TS Thin and Light...,"₹37,990",Intel Core i3 Processor (10th Gen),64 bit Windows 10 Operating System,4 GB DDR4 RAM,512 GB SSD
13,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop,"₹37,990",Intel Core i3 Processor (10th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,1 TB HDD
14,ASUS VivoBook 15 Ryzen 3 Dual Core - (4 GB/256 GB SSD/Windows 10 Home) M515DA-BQ312TS Thin and Light L...,"₹32,990",AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 Operating System,4 GB DDR4 RAM,256 GB SSD
15,ASUS ASUS TUF Gaming Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,"₹68,990",Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,16 GB DDR4 RAM,512 GB SSD
16,ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and L...,"₹40,990",Intel Core i3 Processor (10th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,512 GB SSD
17,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-EQ2040AU Thin and Light Laptop,"₹50,750",AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,8 GB DDR4 RAM,512 GB SSD
18,acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹54,990",Free upgrade to Windows 11 when available,8 GB DDR4 RAM,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System
19,MSI GF63 Thin Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 30...,"₹76,990",Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,16 GB DDR4 RAM,512 GB SSD
20,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14 ITL 6 Thin and L...,"₹54,990",Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,512 GB SSD
21,ASUS ASUS TUF Gaming Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce R...,"₹88,990",Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,16 GB DDR4 RAM,1 TB SSD
22,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15IML05 Thin and Light Laptop,"₹37,990",Intel Core i3 Processor (10th Gen),Windows 10 Operating System,8 GB DDR4 RAM,256 GB SSD
23,ASUS Ryzen 3 Dual Core 3250U 3rd Gen - (8 GB/256 GB SSD/Windows 10 Home) M515DA-BQ322TS Thin and Light...,"₹36,990",AMD Ryzen 3 Dual Core Processor (3rd Gen),64 bit Windows 10 Operating System,8 GB DDR4 RAM,256 GB SSD
